Type,EntryTime,ExitTime,EntryPrice,ExitPrice,PnL,ReturnPct,Duration
Short,2022-01-02,2022-02-05,114.20470428466797,77.46501159667969,68372.56809234619,32.17003442906388,34 days
Long,2022-02-05,2022-02-21,77.46501159667969,73.44605598449706,-14556.65722732546,-5.188091409715717,16 days
Short,2022-02-22,2022-02-22,69.99714660644531,73.48837623596192,-13238.742755126985,-4.987674210701525,0 days
Long,2022-03-06,2022-03-06,76.73682403564453,72.89105339050293,-12614.127716064444,-5.011636451562322,0 days
Short,2022-03-11,2022-03-17,74.00333404541016,77.70430183410645,-11931.920150756836,-5.0010825004523305,6 days
Long,2022-03-20,2022-03-20,89.67147827148438,85.20941619873047,-11253.320547485358,-4.976010386764026,0 days
Short,2022-04-11,2022-06-27,81.72069549560547,19.69881820678711,162807.4278831482,75.89494547578047,77 days
Long,2022-06-27,2022-06-28,19.69881820678711,18.70781078338623,-18961.936039352444,-5.030796330002349,1 days
Short,2022-07-06,2022-07-06,18.07046127319336,18.967966175079347,-17742.77440538409,-4.966696136403514,0 days
Long,2022-07-12,2022-08-02,17.377901077270508,23.653297424316406,122338.85178565979,36.11135958906929,21 days
Short,2022-08-02,2022-08-05,23.653297424316406,24.841147327423098,-23110.80771484379,-5.021920968556126,3 days
Long,2022-08-06,2022-08-19,24.949106216430664,23.70205135345459,-21801.013114547743,-4.998394941117391,13 days
Short,2022-08-21,2022-08-21,22.296768188476562,23.418023300170898,-20795.918556594836,-5.028778620364468,0 days
Long,2022-09-12,2022-09-13,20.659656524658203,19.6259126663208,-19610.120992660522,-5.003683662908838,1 days
Short,2022-09-20,2022-09-23,17.305648803710938,18.169951915740967,-18557.45211839676,-4.994340991391738,3 days
Long,2022-10-02,2022-10-05,16.971267700195312,17.43783950805664,9684.631015777588,2.7491865434186664,3 days
Short,2022-10-05,2022-10-27,17.43783950805664,17.01578140258789,8742.933654785156,2.42035778155746,22 days
Long,2022-10-27,2022-11-08,17.01578140258789,16.164398002624512,-18475.019779205308,-5.003492815404254,12 days
Short,2022-11-11,2022-12-02,15.385247230529785,12.888829231262207,56803.49515533447,16.226050591594003,21 days
Long,2022-12-02,2022-12-16,12.888829231262207,13.171334266662598,8902.86368560791,2.191859557850041,14 days
Short,2022-12-16,2023-01-10,13.171334266662598,12.207080841064453,30326.734488487244,7.3208484886662175,25 days
Long,2023-01-10,2023-02-11,12.207080841064453,17.802188873291016,203393.3671875,45.83493879556114,32 days
Short,2023-02-11,2023-02-15,17.802188873291016,18.688457107543947,-32152.92527046209,-4.978422825198857,4 days
Long,2023-02-22,2023-02-22,20.942157745361328,19.893123722076414,-30676.901942920747,-5.00919740955191,0 days
Short,2023-03-02,2023-03-20,17.761550903320312,17.563905715942383,6460.428239822388,1.112769872708482,18 days
Long,2023-03-20,2023-03-20,17.563905715942383,16.68495121002197,-29318.406499481247,-5.004322615570655,0 days
Short,2023-04-02,2023-04-05,17.79855728149414,17.647354125976562,4718.596874237061,0.8495247852183502,3 days
Long,2023-04-05,2023-04-23,17.647354125976562,16.76476535797119,-27959.52958164222,-5.001252662041953,18 days
Short,2023-04-26,2023-05-07,17.64189910888672,16.635347366333008,30240.84055328369,5.705461392456794,11 days
Long,2023-05-07,2023-05-08,16.635347366333008,16.44506072998047,-6396.675567626953,-1.1438693293393167,1 days
Short,2023-05-08,2023-06-05,16.44506072998047,14.783157348632812,55753.53463745117,10.10579047797551,28 days
Long,2023-06-05,2023-06-05,14.783157348632812,14.043368005752562,-30343.939476919233,-5.0042715871428385,0 days
Short,2023-06-08,2023-06-25,14.031624794006348,13.023022651672363,41321.421169281006,7.188063799744787,17 days
Long,2023-06-25,2023-06-28,13.023022651672363,12.37362642288208,-30669.03569707874,-4.986524604615435,3 days
Short,2023-07-07,2023-07-08,12.411574363708496,13.031281900405885,-29118.817734336903,-4.992980894586722,1 days
Long,2023-07-10,2023-07-12,13.607630729675293,12.927154970169067,-27649.771536016495,-5.0006924278321,2 days
Short,2023-07-26,2023-10-03,13.346122741699219,9.326217651367188,157897.85204315186,30.12039652364399,69 days
Long,2023-10-03,2023-10-16,9.326217651367188,9.173584938049316,-11146.309155464172,-1.6365982333201898,13 days
Short,2023-10-16,2023-10-16,9.173584938049316,9.631875658035279,-33400.68596329691,-4.995764720999181,0 days
Long,2023-10-25,2023-11-30,10.316444396972656,21.0885066986084,661835.5078125,104.4164237903205,36 days
Short,2023-11-30,2023-12-01,21.0885066986084,22.140735054016115,-64519.486068534985,-4.98958210007896,1 days
Long,2023-12-04,2024-01-03,21.967601776123047,40.645931243896484,1042418.8892669678,85.02671187382515,30 days
Short,2024-01-03,2024-01-19,40.645931243896484,33.53049850463867,396308.2572784424,17.50589178671183,16 days
Long,2024-01-19,2024-01-19,33.53049850463867,31.851744842529296,-132958.96879272466,-5.006646894549252,0 days
Short,2024-01-21,2024-01-28,32.8138313293457,34.44884719848633,-125446.59255981435,-4.982703338510838,7 days
Long,2024-02-02,2024-02-25,33.82978057861328,36.73904800415039,205289.5466156006,8.599723012617789,23 days
Short,2024-02-25,2024-02-26,36.73904800415039,38.57494697570801,-129289.51327400218,-4.997132672981124,1 days
Long,2024-03-03,2024-03-03,44.364845275878906,42.11721267700195,-124264.86349411019,-5.066246900896979,0 days
Short,2024-03-28,2024-04-28,54.11201858520508,34.43024826049805,845253.3083648682,36.372271519895364,31 days
Long,2024-04-28,2024-04-30,34.43024826049805,32.70873584747314,-158225.92739353192,-5.000000000000004,2 days
